1901  |010001 |R     And *|002401.95 +383437.3 |M         |  5.8    |  15.2      |            |V |53820.      |     |   409.2            |38   |S3,5e-S8,8e(M7e) |HIP   00002|           |-0.016 -0.035|2000.0  | |Hip      |M         |R     And |
102141|540073 |AT    Mic *|204151.16 -322606.8 |UV        | 11.4    |  12.90     |            |U |            |     |                    |     |M4.5Ve+M4.5Ve    |05865 05288|           |+0.269 -0.366|2000.0  | |Hip      |          |AT    Mic |
102409|540074 |AU    Mic *|204509.53 -312027.2 |BY+UV     |  8.59   |   8.96     |            |V |42720.75    |     |     4.865          |     |M1.6Ve           |06168 CoD  |           |+0.280 -0.360|2000.0  | |Hip      |          |AU    Mic |
102096|540075 |AV    Mic  |204124.67 -420801.6 |LC:       |  6.25   |   6.35     |            |V |            |     |                    |     |M3II             |06351 CoD  |           |+0.049 -0.033|2000.0  | |Hip      |          |AV    Mic |
105249|540076 |AW    Mic *|211905.92 -335507.9 |RRC:      |  9.04   |   9.13     |            |V |            |     |     0.479       :  |     |B9               |07896 CoD  |           |+0.098 -0.079|2000.0  | |Hip      |          |AW    Mic |
105090|540077 |AX    Mic *|211715.27 -385202.5 |UV        |  9.21   |   9.31     |            |U |            |     |                    |     |M0Ve             |08771 CoD  |           |-3.259--1.147|2000.0  | |Hip      |          |AX    Mic |
104861|540090 |BM    Mic  |211431.15 -304526.9 |RS        |  8.23   |   8.45     |            |V |            |     |                    |     |                 |69011 CoD  |           |-0.007 -0.042|2000.0  | |Hip      |          |BM    Mic |
104894|540091 |BN    Mic  |211452.70 -311101.3 |RS        |  7.68   |   7.94     |            |V |            |     |                    |     |                 |69011 CoD  |           |-0.054 -0.051|2000.0  | |Hip      |          |BN    Mic |
102626|540092 |BO    Mic  |204745.02 -363540.8 |BY        |  9.2    |(  0.21    )|            |V |            |     |                    |     |                 |73196 CoD  |           |+0.025 -0.081|2000.0  | |Hip      |          |BO    Mic |
105912|540095 |BR    Mic  |212701.11 -315620.5 |BCEP      |  8.78   |   8.82     |            |V |            |     |                    |     |                 |73197 CoD  |           |+0.010 -0.011|2000.0  | |Hip      |          |BR    Mic |
101678|540096 |BS    Mic  |203635.78 -380131.8 |LB        |  8.64   |   9.02     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |+0.003 -0.001|2000.0  | |Hip      |          |BS    Mic |
101977|540097 |BT    Mic  |203957.32 -433623.0 |EB        | 10.14   |  10.41     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |+0.009 -0.015|2000.0  | |Hip      |          |BT    Mic |
101968|540098 |BU    Mic  |203952.45 -360200.8 |DSCTC     |  7.28   |   7.32     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |+0.034 -0.051|2000.0  | |Hip      |          |BU    Mic |
102256|540099 |BV    Mic  |204312.48 -321735.4 |EA:       |  9.86   |  10.20     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |-0.002 -0.004|2000.0  | |Hip      |          |BV    Mic |
102355|540100 |BW    Mic  |204421.13 -343108.1 |SRD:      |  9.19   |   9.31     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |-0.005 -0.006|2000.0  | |Hip      |          |BW    Mic |
102412|540101 |BX    Mic  |204511.72 -350959.1 |EB:       |  6.91   |   6.96     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |-0.015 -0.030|2000.0  | |Hip      |          |BX    Mic |
103168|540102 |BY    Mic  |205406.57 -275530.9 |LB:       |  6.49   |   6.52     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |-0.012 -0.017|2000.0  | |Hip      |          |BY    Mic |
103625|540103 |BZ    Mic  |205944.15 -433026.1 |LB        |  8.72   |   8.90     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |-0.001 -0.007|2000.0  | |Hip      |          |BZ    Mic |
105058|540104 |CC    Mic  |211655.68 -283617.2 |E:        |  9.76   |  10.17     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |-0.078 -0.042|2000.0  | |Hip      |          |CC    Mic |
105464|540105 |CD    Mic  |212143.88 -300855.3 |E:        |  8.59   |   9.04     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |+0.009 -0.010|2000.0  | |Hip      |          |CD    Mic |
105648|540106 |CE    Mic  |212356.15 -442330.3 |BY:       | 11.17   |  11.39     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |+0.047 -0.068|2000.0  | |Hip      |          |CE    Mic |
105788|540107 |CF    Mic  |212528.36 -414207.4 |LB        |  7.28   |   7.90     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |+0.021 +0.002|2000.0  | |Hip      |          |CF    Mic |
31978 |550002 |S     Mon *|064058.66 +095344.7 |IA:       |  4.62   |   4.68     |            |V |            |     |                    |     |O7.5III-Vf       |      02750|           |-0.001 -0.003|2000.0  | |Hip      |          |S     Mon |
30541 |550003 |T     Mon *|062513.00 +070508.6 |DCEP      |  5.58   |   6.62     |            |V |43784.615   |     |    27.024649       |27   |F7Iab-K1Iab+A0V  |09029 00559|           |+0.003 -0.001|2000.0  | |Hip      |          |T     Mon |
36521 |550004 |U     Mon *|073047.47 -094636.8 |RVB       |  6.1    |   8.8      |            |p |38496.      |     |    91.32           |22   |F8eVIb-K0pIb(M2) |08125 00368|           |-0.001 +0.003|2000.0  | |Hip      |          |U     Mon |
30326 |550005 |V     Mon *|062243.58 -021143.5 |M         |  6.0    |  13.9      |            |V |44972.      |     |   340.5            |46   |M5e-M8e          |00001 00002|           |+0.006 -0.032|2000.0  | |Hip      |          |V     Mon |
33441 |550007 |X     Mon *|065711.81 -090352.1 |SRA       |  6.8    |  10.2      |            |V |42446.      |     |   155.8            |51   |M1eIII-M6ep      |00001 00002|           |-0.001 -0.018|2000.0  | |Hip      |          |X     Mon |
39877 |550012 |RT    Mon  |080843.50 -104722.5 |SRB       |  8.13   |  10.3      |            |V |            |     |   107.             |49   |M3-4III          |00374 08953|           |+0.001 +0.009|2000.0  | |Hip      |          |RT    Mon |
33163 |550013 |RU    Mon *|065412.32 -073545.0 |EA/DM     | 10.33   |  11.18     |  11.06     |V |41743.1947  |     |     3.584749       |06  *|B9p              |09546 00102|           |+0.000 -0.001|2000.0  | |Hip      |          |RU    Mon |
33550 |550014 |RV    Mon *|065821.49 +061001.6 |SRB       |  9.71   |  11.9      |            |B |            |     |   131.5            |     |C4,4-C6,2(Nb/R9) |00372 00119|           |-0.005 +0.010|2000.0  | |Hip      |          |RV    Mon |
31383 |550015 |RW    Mon *|063445.89 +084932.2 |EA/SD     |  9.26   |  11.51     |   9.45     |V |33680.4481  |     |     1.90609412     |15   |B9V+F8V-G0IV     |09399 03455|           |-0.009 -0.006|2000.0  | |Hip      |          |RW    Mon |
36394 |550016 |RX    Mon *|072921.32 -041643.8 |M         |  9.6    |< 13.0      |            |p |35800.      |     |   345.7            |     |M6e-M9           |00001 00528|           |-0.008 -0.007|2000.0  | |Hip      |          |RX    Mon |
34326 |550017 |RY    Mon *|070656.48 -073326.5 |SRA       |  7.5    |   9.2      |            |V |27440.      |     |   455.7            |43   |C5,5-C7,4:(N5/R) |00001 08953|           |+0.002 -0.006|2000.0  | |Hip      |          |RY    Mon |
30219 |550022 |SV    Mon *|062126.31 +062812.6 |DCEP      |  7.61   |   8.88     |            |V |43794.338   |     |    15.232780       |38   |F6-G4            |09029 00560|           |+0.002 -0.001|2000.0  | |Hip      |          |SV    Mon |
30701 |550023 |SW    Mon  |062700.98 +052243.8 |SRB       |  9.05   |  10.9      |            |V |            |     |   112.             |     |M4III-M6         |00507 00002|           |-0.003 +0.003|2000.0  | |Hip      |          |SW    Mon |
32915 |550026 |SZ    Mon *|065127.84 -012216.0 |RVA       |  9.66   |  10.75     |  10.55     |V |40550.0     |     |    32.685          |     |F9-K5            |00001 03453|           |-0.023 -0.010|2000.0  | |Hip      |          |SZ    Mon |
36043 |550027 |TT    Mon  |072540.63 -055101.3 |M         |  8.0    |< 13.5      |            |p |38323.      |     |   323.17           |     |M5e-M8           |00001 00400|           |+0.019 -0.006|2000.0  | |Hip      |          |TT    Mon |
38523 |550028 |TU    Mon *|075319.75 -030231.1 |EA/SD     |  9.0    |  11.7      |   9.1      |p |34068.1230  |     |     5.0490291      |15  *|B5V+A5III:       |08608 02532|           |-0.005 +0.003|2000.0  | |Hip      |          |TU    Mon |
32854 |550031 |TX    Mon *|065052.27 -012545.3 |DCEP      | 10.67   |  11.36     |            |V |35838.977   |     |     8.701731       |36   |F6-G2            |03453 00380|           |+0.004 -0.003|2000.0  | |Hip      |          |TX    Mon |
33520 |550033 |TZ    Mon  |065800.93 -002233.5 |DCEP      | 10.43   |  11.18     |            |V |37633.801   |     |     7.42818        |30   |F6-G1            |03453 03453|           |+0.000 -0.001|2000.0  | |Hip      |          |TZ    Mon |
39042 |550037 |UX    Mon *|075916.37 -073017.9 |EA+DSCT:  |  8.22   |   9.16     |   8.52     |V |33328.8533  |     |     5.9045505      |17   |A6Vep+G0-G2III-IV|08608 06286|           |-0.002 +0.000|2000.0  | |Hip      |          |UX    Mon |
34003 |550040 |VV    Mon *|070318.29 -054415.5 |EA/D/RS   |  9.4    |   9.95     |   9.55     |V |26037.543   |     |     6.050829       |11   |K0IV+G2          |08592 07991|           |+0.006 +0.008|2000.0  | |Hip      |          |VV    Mon |
33791 |550057 |AC    Mon *|070059.82 -084232.4 |DCEP      |  9.75   |  10.47     |            |V |37683.203   |     |     8.01425        |30   |F5-G1            |03263 08588|           |-0.002 +0.003|2000.0  | |Hip      |          |AC    Mon |
34299 |550068 |AO    Mon *|070636.30 -043724.5 |EA/DM     |  9.6    |  10.23     |  10.16     |V |40588.3272  |     |     1.884660       |17  *|B3+B5            |00001 08953|           |+0.001 +0.000|2000.0  | |Hip      |          |AO    Mon |
35600 |550071 |AR    Mon *|072048.45 -051535.8 |EA/GS/RS  |  8.62   |   9.47     |   9.03     |V |26606.408   |     |    21.20911        |08   |G8III+K0III      |08623 00391|           |+0.006 -0.007|2000.0  | |Hip      |          |AR    Mon |
33237 |550074 |AU    Mon *|065454.71 -012232.8 |EA/DS:    |  8.11   |   9.06     |   8.2  :   |V |42801.3752  |     |    11.1130371      |10  *|B5ea+F0          |09407 00391|           |-0.002 +0.002|2000.0  | |Hip      |          |AU    Mon |
31019 |550077 |AX    Mon *|063032.94 +055201.2 |*         |  6.59   |   6.94     |            |V |39550.      |     |   232.5            |     |B1eqIV+K1II-III  |09410 BD   |           |+0.000 -0.002|2000.0  | |Hip      |          |AX    Mon |
31905 |550083 |BE    Mon *|064005.58 +073621.0 |DCEP      | 10.19   |  10.88     |            |V |41880.240   |     |     2.705510       |26   |F4-G0            |08300 03455|           |+0.003 -0.001|2000.0  | |Hip      |          |BE    Mon |
33369 |550085 |BG    Mon  |065622.81 +070439.9 |SRB       |  9.2    |  10.4      |            |V |31881.      |     |    30.          :  |     |C5,2(N)          |02563 00491|           |+0.002 +0.001|2000.0  | |Hip      |          |BG    Mon |
31624 |550122 |CV    Mon *|063704.84 +030350.2 |DCEP      |  9.90   |  10.70     |            |V |42773.136   |     |     5.378898       |26   |                 |08632 08633|           |-0.005 -0.004|2000.0  | |Hip      |          |CV    Mon |
33014 |550154 |EK    Mon *|065246.17 -022729.6 |DCEP      | 10.77   |  11.42     |            |V |40896.54    |     |     3.957941       |31   |                 |03453 03453|           |-0.001 -0.002|2000.0  | |Hip      |          |EK    Mon |
38898 |550186 |FW    Mon *|075738.36 -071122.1 |EA/SD:    |  9.4    |  10.6      |(  0.04    )|p |27562.220   |     |     3.8735903      |13   |B5+F2            |00001 00404|           |-0.005 +0.001|2000.0  | |Hip      |          |FW    Mon |
33059 |550207 |GY    Mon  |065311.31 -043434.0 |LB        |  9.4    |  11.6      |            |p |            |     |                    |     |C6,3(N3/R8)      |00085 08953|           |+0.000 +0.000|2000.0  | |Hip      |          |GY    Mon |
30351 |550230 |IM    Mon *|062301.47 -031637.1 |EB/KE     |  6.40   |   6.49     |   6.47     |B |33340.168   |     |     1.190243       |     |B5Vp+B7          |03465 05288|           |-0.001 +0.003|2000.0  | |Hip      |          |IM    Mon |
32621 |550324 |PZ    Mon  |064821.07 +011308.3 |ISB:      |  9.6    |  11.1      |            |p |            |     |                    |     |K2Ve             |05285 05285|           |-0.009 -0.001|2000.0  | |Hip      |          |PZ    Mon |
34421 |550465 |V0465 Mon *|070809.31 -000356.6 |DCEP      | 10.17   |  10.77     |            |V |41698.687   |     |     2.713176       |38   |G0               |08300 03453|           |-0.003 -0.002|2000.0  | |Hip      |          |V0465 Mon |
28321 |550474 |V0474 Mon *|055901.08 -092256.0 |DSCT      |  5.93   |   6.36     |            |V |41661.1668  |     |     0.13612600     |     |F2IV             |08668 BD   |           |+0.018 +0.014|2000.0  | |Hip      |          |V0474 Mon |
32397 |550505 |V0505 Mon *|064549.98 +022957.4 |EB/GS/D   |  7.15   |   7.65     |   7.55     |V |44635.318   |     |    53.7805         |     |B5eaIb+B5        |09443 08953|           |-0.002 -0.003|2000.0  | |Hip      |          |V0505 Mon |
32516 |550508 |V0508 Mon  |064709.40 +035801.6 |DCEP      | 10.22   |  10.74     |            |V |41732.070   |     |     4.133608       |26   |                 |08300 03453|           |-0.001 +0.003|2000.0  | |Hip      |          |V0508 Mon |
33530 |550523 |V0523 Mon  |065807.12 -090138.2 |SRB       |  6.95   |   7.45     |            |V |            |     |    45.          :  |     |MB               |05128 08588|           |+0.004 +0.012|2000.0  | |Hip      |          |V0523 Mon |
33874 |550526 |V0526 Mon *|070153.62 -010751.5 |DCEPS     |  8.45   |   8.78     |            |V |40286.290   |     |     2.674985       |48   |F6II             |08053 05123|           |-0.004 +0.003|2000.0  | |Hip      |          |V0526 Mon |
34234 |550569 |V0569 Mon *|070549.64 -103936.3 |BCEP      |  6.42   |   6.53     |            |V |            |     |     0.267       :  |     |B0V              |06585 08087|           |-0.003 +0.001|2000.0  | |Hip      |          |V0569 Mon |
34724 |550571 |V0571 Mon *|071123.62 -001807.0 |DSCTC     |  5.43   |   5.50     |            |V |            |     |                    |     |F2V              |09450 BD   |           |-0.027 -0.009|2000.0  | |Hip      |          |V0571 Mon |
30920 |550577 |V0577 Mon *|062923.40 -024850.3 |UV        | 12.5    |  13.3      |            |B |            |     |                    |     |M4.5Ve           |06586 06874|           |+0.695 -0.619|2000.0  | |Hip      |          |V0577 Mon |
32838 |550592 |V0592 Mon  |065042.30 -080227.6 |ACV       |  6.16   |   6.32     |            |V |33942.98    |     |     2.9760         |     |A2p(Sr-Cr)       |09454 BD   |           |-0.009 +0.003|2000.0  | |Hip      |          |V0592 Mon |
32627 |550613 |V0613 Mon *|064822.30 +053230.1 |SRB:      |  7.64   |   8.5      |            |V |            |     |                    |     |M2(S5,1)         |06059 BD   |           |-0.001 -0.002|2000.0  | |Hip      |          |V0613 Mon |
33794 |550614 |V0614 Mon  |070101.95 -031509.1 |SRB       |  7.01   |   7.36     |            |V |            |     |    60.          :  |     |C4,5J(R5)        |06059 BD   |           |-0.006 -0.003|2000.0  | |Hip      |          |V0614 Mon |
39264 |550635 |V0635 Mon  |080144.50 -083535.4 |EA/DM     |  7.6    |   8.1      |            |p |29658.375   |     |     1.807805       |     |F5+A2            |08040 07762|           |-0.048 +0.008|2000.0  | |Hip      |          |V0635 Mon |
33971 |550637 |V0637 Mon *|070254.78 -041421.3 |BCEP      |  4.96   |   5.01     |            |V |43496.1169  |     |     0.19120        |     |B1IV-Vea         |08696 BD   |           |-0.005 +0.003|2000.0  | |Hip      |          |V0637 Mon |
29401 |550638 |V0638 Mon *|061143.72 -043955.6 |ACV       |  6.16   |   6.18     |            |V |43852.00    |     |     0.724          |50   |B9p(Hg-Mn)       |04013 BD   |           |-0.007 -0.003|2000.0  | |Hip      |          |V0638 Mon |
31646 |550640 |V0640 Mon *|063724.04 +060807.4 |*         |  6.04   |   6.08     |            |V |            |     |                    |     |O8V+O8f          |04106 BD   |           |-0.002 +0.001|2000.0  | |Hip      |          |V0640 Mon |
31939 |550641 |V0641 Mon *|064028.59 +094904.3 |ELL       |  8.46   |(  0.07    )|            |V |43214.577   |     |     1.304054       |     |B1.5IV+B2V       |08500 BD   |           |+0.000 -0.005|2000.0  | |Hip      |          |V0641 Mon |
33436 |550644 |V0644 Mon  |065709.38 -104928.1 |GCAS      |  6.88   |   6.98     |            |V |            |     |                    |     |B0-1V-IVeq+K     |08587 08588|           |-0.003 +0.000|2000.0  | |Hip      |          |V0644 Mon |
39211 |550645 |V0645 Mon *|080113.33 -012333.4 |FKCOM     |  4.68   |(  0.020   )|            |V |43100.000   |     |     0.207878       |50   |K4III            |08506 BD   |           |+0.066 -0.076|2000.0  | |Hip      |          |V0645 Mon |
34049 |550646 |V0646 Mon  |070347.51 -010558.7 |ACV       |  8.85   |   8.92     |            |V |44230.732   |     |    11.978          |     |A0p(Sr-Eu)       |09466 BD   |           |-0.001 -0.004|2000.0  | |Hip      |          |V0646 Mon |
30793 |550648 |V0648 Mon  |062813.96 +051620.1 |ACV       |  7.35   |   7.39     |            |V |            |     |                    |     |                 |67066 BD   |           |-0.001 +0.000|2000.0  | |Hip      |          |V0648 Mon |
34541 |550651 |V0651 Mon  |070922.52 -004823.6 |*         | 11.29   |  15.28     |            |V |            |     |                    |     |                 |67428 67427|           |-0.004 +0.001|2000.0  | |Hip      |          |V0651 Mon |
29323 |550653 |V0653 Mon  |061101.21 -064515.2 |ACV       |  6.19   |(  0.04    )|            |U |            |     |                    |     |                 |68020 BD   |           |-0.005 -0.012|2000.0  | |Hip      |          |V0653 Mon |
30789 |550682 |V0682 Mon  |062810.77 -045356.5 |ACV       |  7.65   |   7.73     |            |U |            |     |                    |     |                 |69056 BD   |           |-0.005 -0.002|2000.0  | |Hip      |          |V0682 Mon |
31766 |550689 |V0689 Mon  |063838.19 +013648.7 |ACYG      |  6.19   |   6.26     |            |V |            |     |                    |     |                 |70077 BD   |           |+0.000 -0.002|2000.0  | |Hip      |          |V0689 Mon |
39172 |550695 |V0695 Mon  |080044.13 -025254.9 |BE        |  6.48   |   6.55     |            |V |            |     |                    |     |                 |71074 BD   |           |-0.006 +0.003|2000.0  | |Hip      |          |V0695 Mon |
28744 |550696 |V0696 Mon  |060413.50 -064232.2 |*         |  5.12   |   5.18     |            |B |            |     |                    |     |                 |72113 BD   |           |-0.004 +0.004|2000.0  | |Hip      |          |V0696 Mon |
31235 |550700 |V0700 Mon  |063305.19 +101920.0 |INA       |  8.62   |   8.91     |            |V |            |     |                    |     |                 |72115 72029|           |-0.003 -0.003|2000.0  | |Hip      |          |V0700 Mon |
32682 |550715 |V0715 Mon  |064903.65 +010007.4 |LPB:      |  5.34   |(  0.18  u )|            |U |            |     |                    |     |                 |73201 BD   |           |-0.001 -0.003|2000.0  | |Hip      |          |V0715 Mon |
28215 |550717 |V0717 Mon  |055741.44 -060540.8 |LB        |  7.27   |   7.50     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |+0.015 +0.011|2000.0  | |Hip      |          |V0717 Mon |
29847 |550718 |V0718 Mon  |061705.41 -060708.7 |LPB       |  8.08   |   8.13     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |-0.002 +0.004|2000.0  | |Hip      |          |V0718 Mon |
30185 |550719 |V0719 Mon  |062102.89 +023407.6 |LB:       |  7.14   |   7.23     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |-0.016 -0.023|2000.0  | |Hip      |          |V0719 Mon |
30380 |550720 |V0720 Mon  |062318.41 -072704.8 |LC:       |  9.60   |   9.83     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |+0.001 +0.002|2000.0  | |Hip      |          |V0720 Mon |
30407 |550721 |V0721 Mon  |062335.92 -095229.0 |LB        |  6.18   |   6.26     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |-0.003 +0.005|2000.0  | |Hip      |          |V0721 Mon |
30806 |550722 |V0722 Mon  |062820.35 -004345.7 |E:        |  7.84   |   7.99     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |-0.012 +0.008|2000.0  | |Hip      |          |V0722 Mon |
30891 |550723 |V0723 Mon  |062904.66 -053420.2 |SRD:      |  8.37   |   8.51     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |+0.000 +0.017|2000.0  | |Hip      |          |V0723 Mon |
30909 |550724 |V0724 Mon  |062915.40 -080602.4 |SRB       |  7.88   |   8.14     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |-0.002 -0.001|2000.0  | |Hip      |          |V0724 Mon |
30992 |550725 |V0725 Mon  |063017.63 +025052.4 |BE        |  8.87   |   9.01     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |+0.000 -0.002|2000.0  | |Hip      |          |V0725 Mon |
30993 |550726 |V0726 Mon  |063017.98 -062548.5 |LPB       |  7.93   |   7.97     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |+0.002 -0.004|2000.0  | |Hip      |          |V0726 Mon |
31065 |550727 |V0727 Mon  |063109.34 +095623.3 |EB        |  7.88   |   7.99     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |-0.002 -0.004|2000.0  | |Hip      |          |V0727 Mon |
31199 |550728 |V0728 Mon  |063243.23 -073032.3 |BE        |  8.03   |   8.12     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |+0.000 +0.003|2000.0  | |Hip      |          |V0728 Mon |
31363 |550729 |V0729 Mon  |063435.63 +045804.5 |SRB       |  6.72   |   6.90     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |+0.022 -0.043|2000.0  | |Hip      |          |V0729 Mon |
31371 |550730 |V0730 Mon  |063440.65 -083629.2 |EA:       |  8.85   |   8.95     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |-0.004 +0.002|2000.0  | |Hip      |          |V0730 Mon |
31697 |550731 |V0731 Mon  |063752.70 +045724.0 |ACYG:     |  6.16   |   6.22     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |+0.000 +0.001|2000.0  | |Hip      |          |V0731 Mon |
31739 |550732 |V0732 Mon  |063823.11 +043726.9 |LPB:      |  8.16   |   8.26     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |-0.002 +0.000|2000.0  | |Hip      |          |V0732 Mon |
31894 |550733 |V0733 Mon  |064001.58 -044155.4 |BE        |  8.61   |   8.83     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |+0.003 +0.000|2000.0  | |Hip      |          |V0733 Mon |
31906 |550734 |V0734 Mon  |064006.31 -101838.7 |ACV       |  8.49   |   8.55     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |+0.001 +0.002|2000.0  | |Hip      |          |V0734 Mon |
31934 |550735 |V0735 Mon  |064025.16 +023328.7 |ACV:      |  7.50   |   7.54     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |-0.001 -0.013|2000.0  | |Hip      |          |V0735 Mon |
31925 |550736 |V0736 Mon  |064018.87 -062046.6 |LB        |  6.90   |   7.04     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |+0.014 +0.011|2000.0  | |Hip      |          |V0736 Mon |
32088 |550737 |V0737 Mon  |064212.94 -102953.1 |BE        |  8.81   |   8.92     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |-0.001 +0.004|2000.0  | |Hip      |          |V0737 Mon |
32187 |550738 |V0738 Mon  |064312.48 -084530.2 |SRB       |  9.72   |   9.98     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |-0.002 +0.004|2000.0  | |Hip      |          |V0738 Mon |
32586 |550739 |V0739 Mon  |064757.27 +004634.0 |BE        |  8.94   |   9.04     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |-0.001 -0.001|2000.0  | |Hip      |          |V0739 Mon |
32745 |550740 |V0740 Mon  |064944.29 -012023.8 |ACV       |  7.28   |   7.34     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |-0.008 +0.008|2000.0  | |Hip      |          |V0740 Mon |
32839 |550741 |V0741 Mon *|065043.26 -041558.4 |LPB:      |  6.84   |   6.88     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |-0.009 -0.003|2000.0  | |Hip      |          |V0741 Mon |
32947 |550742 |V0742 Mon  |065145.75 +050503.9 |BE        |  6.89   |   6.94     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |+0.000 -0.002|2000.0  | |Hip      |          |V0742 Mon |
32923 |550743 |V0743 Mon  |065133.40 -065759.5 |GCAS      |  6.57   |   6.87     |            |V |            |     |                    |     |                 |HIP   HIP  |           |-0.005 +0.005|2000.0  | |Hip      |          |V0743 Mon |
33267 |550744 |V0744 Mon  |065513.65 +052602.4 |BE:       |  7.61   |   7.85     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |-0.001 -0.002|2000.0  | |Hip      |          |V0744 Mon |
33261 |550745 |V0745 Mon  |065511.90 -091916.2 |EA        |  7.69   |   7.99     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |-0.002 +0.000|2000.0  | |Hip      |          |V0745 Mon |
33361 |550746 |V0746 Mon  |065619.08 -034825.5 |BE        |  8.04   |   8.14     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |+0.000 +0.002|2000.0  | |Hip      |          |V0746 Mon |
33437 |550747 |V0747 Mon  |065709.48 -083231.1 |BE:       |  8.02   |   8.21     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |-0.001 +0.000|2000.0  | |Hip      |          |V0747 Mon |
33822 |550748 |V0748 Mon  |070116.41 -020918.7 |LB:       |  8.59   |   8.73     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |+0.010 -0.007|2000.0  | |Hip      |          |V0748 Mon |
34032 |550749 |V0749 Mon  |070337.17 -022827.0 |GCAS:     |  7.08   |   7.25     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |-0.009 +0.000|2000.0  | |Hip      |          |V0749 Mon |
34116 |550750 |V0750 Mon *|070425.53 -102715.7 |GCAS      |  6.92   |   7.22     |            |V |            |     |                    |     |                 |HIP   HIP  |           |-0.002 +0.003|2000.0  | |Hip      |          |V0750 Mon |
34385 |550751 |V0751 Mon  |070746.98 -032215.7 |SRB       |  7.85   |   7.99     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |-0.003 -0.001|2000.0  | |Hip      |          |V0751 Mon |
34401 |550752 |V0752 Mon  |070756.86 -044040.3 |DSCTC:    |  6.99   |   7.01     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |-0.018 +0.010|2000.0  | |Hip      |          |V0752 Mon |
34684 |550753 |V0753 Mon *|071057.85 -035243.2 |EB:       |  8.30   |   8.82     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |-0.014 -0.009|2000.0  | |Hip      |          |V0753 Mon |
34807 |550754 |V0754 Mon  |071219.09 -014639.8 |ACV:      |  8.70   |   8.79     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |-0.007 -0.003|2000.0  | |Hip      |          |V0754 Mon |
35300 |550755 |V0755 Mon  |071731.61 -054921.5 |LPB       |  7.18   |   7.23     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |-0.012 -0.003|2000.0  | |Hip      |          |V0755 Mon |
35475 |550756 |V0756 Mon  |071922.12 -084659.2 |LB:       |  7.12   |   7.29     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |-0.001 +0.000|2000.0  | |Hip      |          |V0756 Mon |
35669 |550757 |V0757 Mon  |072134.63 -055349.9 |BE:       |  6.49   |   6.58     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |-0.002 +0.003|2000.0  | |Hip      |          |V0757 Mon |
35810 |550758 |V0758 Mon  |072306.99 -041248.8 |LB        |  8.96   |   9.25     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |-0.001 -0.002|2000.0  | |Hip      |          |V0758 Mon |
